UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
P07602	NA	NA	NA	NA	NA	DOMAIN 18..58;  /note=Saposin A-type 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00414; DOMAIN 59..142;  /note=Saposin B-type 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00415; DOMAIN 194..275;  /note=Saposin B-type 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00415; DOMAIN 311..392;  /note=Saposin B-type 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00415; DOMAIN 405..486;  /note=Saposin B-type 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00415; DOMAIN 488..524;  /note=Saposin A-type 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00414	NA	NA	NA	NA
P00746	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 26..253;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q16625	DOMAIN: The C-terminal is cytoplasmic and is important for interaction with ZO-1. Sufficient for the tight junction localization. Involved in the regulation of the permeability barrier function of the tight junction (By similarity). The first extracellular loop participates in an adhesive interaction. {ECO:0000250, ECO:0000269|PubMed:9175707}.	SIMILARITY: Belongs to the ELL/occludin family. {ECO:0000305}.	ELL/occludin family	COILED 426..489;  /evidence=ECO:0000255	COMPBIAS 387..404;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 60..269;  /note=MARVEL;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00581	NA	REGION 1..20;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 360..407;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q16696	NA	SIMILARITY: Belongs to the cytochrome P450 family. {ECO:0000305}.	Cytochrome P450 family	NA	NA	NA	NA	NA	NA	NA
Q86TH1	NA	NA	NA	NA	NA	DOMAIN 47..106;  /note=TSP type-1 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 564..618;  /note=TSP type-1 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 622..686;  /note=TSP type-1 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 688..736;  /note=TSP type-1 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 737..795;  /note=TSP type-1 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 797..851;  /note=TSP type-1 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 853..908;  /note=TSP type-1 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 912..950;  /note=PLAC;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00233	NA	REGION 414..440;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 534..556;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q04118	NA	NA	NA	NA	COMPBIAS 17..31;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 46..101;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 108..226;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 234..309;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 17..309;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 53..262;  /note=10 X 21 AA tandem repeats of [RH]-P-G-K-P-[EQ]-G-[PQS]-P-[PS]-Q-[GE]-G-N-[QK]-[SP]-[QR]-[GR]-P-P-P	REPEAT 53..73;  /note=1; REPEAT 74..94;  /note=2; REPEAT 95..115;  /note=3; REPEAT 116..136;  /note=4; REPEAT 137..157;  /note=5; REPEAT 158..178;  /note=6; REPEAT 179..199;  /note=7; REPEAT 200..220;  /note=8; REPEAT 221..241;  /note=9; REPEAT 242..262;  /note=10	NA
P01562	NA	SIMILARITY: Belongs to the alpha/beta interferon family. {ECO:0000305}.	Alpha/beta interferon family	NA	NA	NA	NA	NA	NA	NA
Q96HE7	NA	SIMILARITY: Belongs to the EROs family. {ECO:0000305}.	EROs family	NA	NA	NA	NA	NA	NA	NA
Q6P093	NA	SIMILARITY: Belongs to the 'GDXG' lipolytic enzyme family. {ECO:0000305}.	'GDXG' lipolytic enzyme family	NA	NA	NA	MOTIF 111..113;  /note=Involved in the stabilization of the negatively charged intermediate by the formation of the oxyanion hole;  /evidence=ECO:0000250|UniProtKB:Q5NUF3	NA	NA	NA
O60218	NA	SIMILARITY: Belongs to the aldo/keto reductase family. {ECO:0000305}.	Aldo/keto reductase family	NA	NA	NA	NA	NA	NA	NA
P20853	NA	SIMILARITY: Belongs to the cytochrome P450 family. {ECO:0000305}.	Cytochrome P450 family	NA	NA	NA	NA	NA	NA	NA
Q70JA7	NA	SIMILARITY: Belongs to the chondroitin N-acetylgalactosaminyltransferase family. {ECO:0000305}.	Chondroitin N-acetylgalactosaminyltransferase family	NA	COMPBIAS 61..79;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 46..167;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8IZN71	NA	SIMILARITY: Belongs to the beta-defensin family. {ECO:0000305}.	Beta-defensin family	NA	NA	NA	NA	NA	NA	NA
Q8N108	NA	NA	NA	NA	COMPBIAS 1..16;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 20..35;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 36..50;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 82..106;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 107..123;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 124..144;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 370..410;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 445..459;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 460..484;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 180..278;  /note=ELM2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00512; DOMAIN 283..335;  /note=SANT;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00624	NA	REGION 1..63;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 75..173;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 180..284;  /note=Interaction with HDAC1;  /evidence=ECO:0000269|PubMed:12482978; REGION 366..512;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9NP55	NA	SIMILARITY: Belongs to the BPI/LBP/Plunc superfamily. Plunc family. {ECO:0000305}.	BPI/LBP/Plunc superfamily, Plunc family	NA	NA	NA	NA	REGION 87..92;  /note=Important for surfactant activity and antibacterial properties;  /evidence=ECO:0000269|PubMed:27145151	NA	NA
Q8NBQ5	NA	SIMILARITY: Belongs to the short-chain dehydrogenases/reductases (SDR) family. 17-beta-HSD 3 subfamily. {ECO:0000305}.	Short-chain dehydrogenases/reductases (SDR) family, 17-beta-HSD 3 subfamily	NA	NA	NA	NA	NA	NA	NA
Q6ZMB0	NA	SIMILARITY: Belongs to the glycosyltransferase 31 family. {ECO:0000305}.	Glycosyltransferase 31 family	NA	NA	NA	NA	REGION 34..68;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O95965	DOMAIN: Contains ten tandem EGF-like repeats strikingly similar to those found in the cysteine rich 'stalk-like' structure of integrin beta-subunits.	NA	NA	NA	NA	NA	NA	REGION 51..494;  /note=Cysteine-rich tandem repeats	REPEAT 51..95;  /note=I; REPEAT 96..142;  /note=II; REPEAT 143..184;  /note=III; REPEAT 185..230;  /note=IV; REPEAT 231..275;  /note=V; REPEAT 276..326;  /note=VI; REPEAT 327..367;  /note=VII; REPEAT 368..414;  /note=VIII; REPEAT 415..454;  /note=IX; REPEAT 455..494;  /note=X	NA
Q8NB15	NA	SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.	Krueppel C2H2-type zinc-finger protein family	NA	NA	NA	NA	REGION 177..221;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	ZN_FING 80..105;  /note=C2H2-type 1; ZN_FING 107..130;  /note=C2H2-type 2; ZN_FING 144..169;  /note=C2H2-type 3
Q96BQ1	NA	SIMILARITY: Belongs to the FAM3 family. {ECO:0000305}.	FAM3 family	NA	NA	NA	NA	NA	NA	NA
P08519	NA	SIMILARITY: Belongs to the peptidase S1 family. Plasminogen subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Plasminogen subfamily	NA	COMPBIAS 3655..3669;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 20..130;  /note=Kringle 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 131..244;  /note=Kringle 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 245..358;  /note=Kringle 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 359..472;  /note=Kringle 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 473..586;  /note=Kringle 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 587..700;  /note=Kringle 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 701..814;  /note=Kringle 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 815..928;  /note=Kringle 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 929..1042;  /note=Kringle 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1043..1156;  /note=Kringle 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1157..1270;  /note=Kringle 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1271..1384;  /note=Kringle 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1385..1498;  /note=Kringle 13;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1499..1612;  /note=Kringle 14;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1613..1726;  /note=Kringle 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1727..1840;  /note=Kringle 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1841..1954;  /note=Kringle 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 1955..2068;  /note=Kringle 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2069..2182;  /note=Kringle 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2183..2296;  /note=Kringle 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2297..2410;  /note=Kringle 21;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2411..2524;  /note=Kringle 22;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2525..2638;  /note=Kringle 23;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2639..2752;  /note=Kringle 24;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2753..2866;  /note=Kringle 25;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2867..2980;  /note=Kringle 26;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 2981..3094;  /note=Kringle 27;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3095..3208;  /note=Kringle 28;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3209..3322;  /note=Kringle 29;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3323..3436;  /note=Kringle 30;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3437..3550;  /note=Kringle 31;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3551..3664;  /note=Kringle 32;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3665..3770;  /note=Kringle 33;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3771..3884;  /note=Kringle 34;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3885..3998;  /note=Kringle 35;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 3999..4112;  /note=Kringle 36;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 4113..4226;  /note=Kringle 37;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 4227..4327;  /note=Kringle 38;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 4328..4546;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 3655..3674;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 3873..3896;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 3984..4005;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8N3H0	NA	SIMILARITY: Belongs to the TAFA family. {ECO:0000305}.	TAFA family	NA	NA	NA	NA	NA	NA	NA
Q96P70	NA	SIMILARITY: Belongs to the importin beta family. {ECO:0000305}.	Importin beta family	NA	COMPBIAS 946..966;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 43..119;  /note=Importin N-terminal;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00115	NA	REGION 936..967;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P59796	NA	SIMILARITY: Belongs to the glutathione peroxidase family. {ECO:0000305}.	Glutathione peroxidase family	NA	NA	NA	NA	NA	NA	NA
Q9Y4F4	DOMAIN: The TOG regions are composed of HEAT-type repeats that assemble into a solenoid structure. They mediate interaction with microtubules. {ECO:0000250|UniProtKB:Q6A070}.	SIMILARITY: Belongs to the Crescerin family. {ECO:0000305}.	Crescerin family	NA	COMPBIAS 794..811;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 819..856;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 864..907;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 973..997;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1069..1087;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1441..1462;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 94..312;  /note=TOG 1;  /evidence=ECO:0000250|UniProtKB:Q6A070; REGION 352..596;  /note=TOG 2;  /evidence=ECO:0000250|UniProtKB:Q6A070; REGION 794..924;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 970..998;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1067..1087;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1256..1425;  /note=TOG 3;  /evidence=ECO:0000250|UniProtKB:Q6A070; REGION 1430..1462;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1484..1720;  /note=TOG 4;  /evidence=ECO:0000250|UniProtKB:Q6A070	REPEAT 175..212;  /note=HEAT 1;  /evidence=ECO:0000255; REPEAT 214..247;  /note=HEAT 2;  /evidence=ECO:0000255; REPEAT 251..289;  /note=HEAT 3;  /evidence=ECO:0000255; REPEAT 345..384;  /note=HEAT 4;  /evidence=ECO:0000255; REPEAT 390..427;  /note=HEAT 5;  /evidence=ECO:0000255; REPEAT 431..466;  /note=HEAT 6;  /evidence=ECO:0000255; REPEAT 467..504;  /note=HEAT 7;  /evidence=ECO:0000255; REPEAT 506..543;  /note=HEAT 8;  /evidence=ECO:0000255; REPEAT 1294..1331;  /note=HEAT 9;  /evidence=ECO:0000255; REPEAT 1335..1372;  /note=HEAT 10;  /evidence=ECO:0000255; REPEAT 1485..1522;  /note=HEAT 11;  /evidence=ECO:0000255; REPEAT 1526..1563;  /note=HEAT 12;  /evidence=ECO:0000255; REPEAT 1567..1605;  /note=HEAT 13;  /evidence=ECO:0000255	NA
Q9H4F8	NA	NA	NA	NA	COMPBIAS 149..186;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 37..89;  /note=Kazal-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00798; DOMAIN 92..158;  /note=Thyroglobulin type-1 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00500; DOMAIN 224..292;  /note=Thyroglobulin type-1 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00500; DOMAIN 359..394;  /note=EF-hand 1; DOMAIN 396..431;  /note=EF-hand 2	NA	REGION 149..191;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8IYK4	NA	SIMILARITY: Belongs to the glycosyltransferase 25 family. {ECO:0000305}.	Glycosyltransferase 25 family	NA	NA	NA	MOTIF 623..626;  /note=Prevents secretion from ER;  /evidence=ECO:0000255|PROSITE-ProRule:PRU10138	REGION 604..626;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8IUX8	NA	SIMILARITY: Belongs to the nephronectin family. {ECO:0000305}.	Nephronectin family	COILED 331..363;  /evidence=ECO:0000255	COMPBIAS 330..350;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 65..91;  /note=EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 94..133;  /note=EGF-like 2; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 137..173;  /note=EGF-like 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 174..212;  /note=EGF-like 4; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 219..259;  /note=EGF-like 5; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 400..546;  /note=MAM;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00128	NA	REGION 291..350;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9C0B6	NA	SIMILARITY: Belongs to the BRINP family. {ECO:0000305}.	BRINP family	NA	NA	DOMAIN 85..281;  /note=MACPF	NA	NA	NA	NA
Q14832	NA	SIMILARITY: Belongs to the G-protein coupled receptor 3 family. {ECO:0000305}.	G-protein coupled receptor 3 family	NA	NA	NA	NA	REGION 172..174;  /note=Glutamate binding;  /evidence=ECO:0000250	NA	NA
Q8WWX9	NA	SIMILARITY: Belongs to the selenoprotein M/F family. {ECO:0000305}.	Selenoprotein M/F family	NA	NA	NA	NA	NA	NA	NA
Q9BVA6	DOMAIN: The fido domain mediates the adenylyltransferase activity. {ECO:0000269|PubMed:19362538}.	SIMILARITY: Belongs to the fic family. {ECO:0000305}.	Fic family	NA	NA	DOMAIN 285..420;  /note=Fido;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00791	MOTIF 230..235;  /note=Inhibitory (S/T)XXXE(G/N) motif;  /evidence=ECO:0000269|PubMed:22266942	NA	REPEAT 106..139;  /note=TPR 1; REPEAT 140..173;  /note=TPR 2	NA
O75121	NA	NA	NA	NA	COMPBIAS 322..352;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 353..372;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 47..141;  /note=Ig-like C2-type	NA	REGION 292..311;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 320..385;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P17050	NA	SIMILARITY: Belongs to the glycosyl hydrolase 27 family. {ECO:0000305}.	Glycosyl hydrolase 27 family	NA	NA	NA	NA	REGION 78..79;  /note=Substrate binding	NA	NA
Q6H3X3	NA	SIMILARITY: Belongs to the MHC class I family. {ECO:0000255}.	MHC class I family	NA	NA	NA	NA	REGION 29..117;  /note=MHC class I alpha-1 like; REGION 118..210;  /note=MHC class I alpha-2 like	NA	NA
Q5BIV9	NA	SIMILARITY: Belongs to the SPRN family. {ECO:0000305}.	SPRN family	NA	NA	NA	NA	REGION 89..113;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
A6NFZ4	NA	SIMILARITY: Belongs to the FAM24 family. {ECO:0000305}.	FAM24 family	NA	NA	NA	NA	NA	NA	NA
Q17RR3	NA	SIMILARITY: Belongs to the AB hydrolase superfamily. Lipase family. {ECO:0000305}.	AB hydrolase superfamily, Lipase family	NA	NA	DOMAIN 355..467;  /note=PLAT	NA	NA	NA	NA
Q9H400	NA	NA	NA	NA	NA	NA	NA	REGION 145..148;  /note=Interaction with GRB2;  /evidence=ECO:0000250; REGION 167..170;  /note=Interaction with CSK;  /evidence=ECO:0000269|PubMed:14610046; REGION 170..192;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 200..203;  /note=Interaction with CSK;  /evidence=ECO:0000269|PubMed:14610046; REGION 204..223;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 235..238;  /note=Interaction with LCK and PIK3R1;  /evidence=ECO:0000250; REGION 254..257;  /note=Interaction with LCK, PLCG2 and PIK3R1;  /evidence=ECO:0000250; REGION 261..295;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q30KQ9	NA	SIMILARITY: Belongs to the beta-defensin family. {ECO:0000305}.	Beta-defensin family	NA	NA	NA	NA	NA	NA	NA
Q6JVE9	NA	SIMILARITY: Belongs to the calycin superfamily. Lipocalin family. {ECO:0000305}.	Calycin superfamily, Lipocalin family	NA	NA	NA	NA	NA	NA	NA
Q7Z4J2	NA	SIMILARITY: Belongs to the glycosyltransferase 6 family. {ECO:0000305}.	Glycosyltransferase 6 family	NA	NA	NA	NA	REGION 82..87;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P14769; REGION 173..175;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P14769; REGION 195..198;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P14769	NA	NA
Q5VXI9	NA	SIMILARITY: Belongs to the AB hydrolase superfamily. Lipase family. {ECO:0000305}.	AB hydrolase superfamily, Lipase family	NA	NA	DOMAIN 79..379;  /note=AB hydrolase-1;  /evidence=ECO:0000255	NA	NA	NA	NA
Q5VXJ0	NA	SIMILARITY: Belongs to the AB hydrolase superfamily. Lipase family. {ECO:0000305}.	AB hydrolase superfamily, Lipase family	NA	NA	DOMAIN 78..378;  /note=AB hydrolase-1;  /evidence=ECO:0000255	NA	NA	NA	NA
A2RUU4	NA	SIMILARITY: Belongs to the colipase family. {ECO:0000255|PROSITE-ProRule:PRU00674}.	Colipase family	NA	NA	NA	NA	NA	NA	NA
P13942	DOMAIN: The C-terminal propeptide, also known as COLFI domain, have crucial roles in tissue growth and repair by controlling both the intracellular assembly of procollagen molecules and the extracellular assembly of collagen fibrils. It binds a calcium ion which is essential for its function (By similarity). {ECO:0000250}.	SIMILARITY: Belongs to the fibrillar collagen family. {ECO:0000255|PROSITE-ProRule:PRU00793}.	Fibrillar collagen family	NA	COMPBIAS 233..271;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 727..744;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 874..900;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1175..1189;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 57..228;  /note=Laminin G-like; DOMAIN 399..447;  /note=Collagen-like 1; DOMAIN 487..545;  /note=Collagen-like 2; DOMAIN 546..590;  /note=Collagen-like 3; DOMAIN 805..862;  /note=Collagen-like 4; DOMAIN 863..899;  /note=Collagen-like 5; DOMAIN 1099..1156;  /note=Collagen-like 6; DOMAIN 1157..1172;  /note=Collagen-like 7; DOMAIN 1441..1499;  /note=Collagen-like 8; DOMAIN 1541..1735;  /note=Fibrillar collagen NC1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00793	NA	REGION 215..486;  /note=Nonhelical region; REGION 227..303;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 330..465;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 485..1538;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 487..1500;  /note=Triple-helical region	NA	NA
