UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
O75354	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9ER31}; Single-pass type II membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:10948193, ECO:0000269|PubMed:11041856}. Cell membrane {ECO:0000269|PubMed:10948193, ECO:0000269|PubMed:11041856}; Single-pass type II membrane protein {ECO:0000255}. Note=Exists as a secreted and membrane-bound forms in the medium of transfected cells, the secreted form is predominant. {ECO:0000269|PubMed:10948193, ECO:0000269|PubMed:11041856}.	NA	TOPO_DOM 1..39;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 61..484;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 40..60;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P22413	SUBCELLULAR LOCATION: [Ectonucleotide pyrophosphatase/phosphodiesterase family member 1]: Cell membrane {ECO:0000269|PubMed:15072822, ECO:0000269|PubMed:27467858, ECO:0000269|PubMed:8001561}; Single-pass type II membrane protein. Basolateral cell membrane {ECO:0000269|PubMed:11598187}; Single-pass type II membrane protein. Note=Targeted to the basolateral membrane in polarized epithelial cells and in hepatocytes, and to matrix vesicles in osteoblasts (PubMed:11598187). In bile duct cells and cancer cells, located to the apical cytoplasmic side (PubMed:11598187). {ECO:0000269|PubMed:11598187}.; SUBCELLULAR LOCATION: [Ectonucleotide pyrophosphatase/phosphodiesterase family member 1, secreted form]: Secreted {ECO:0000250|UniProtKB:P06802}. Note=Secreted following proteolytic cleavage. {ECO:0000250|UniProtKB:P06802}.	NA	TOPO_DOM 1..76;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 98..925;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 77..97;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q13361	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
Q9BQ51	SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305|PubMed:15253154}.; SUBCELLULAR LOCATION: [Isoform 2]: Endomembrane system {ECO:0000269|PubMed:15253154}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:15253154}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9WUL5, ECO:0000305|PubMed:15340161}.	NA	TOPO_DOM 20..220;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 242..273;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 221..241;  /note=Helical;  /evidence=ECO:0000255
P08949	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q2VPA4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14687939}. Membrane {ECO:0000269|PubMed:14687939}. Secreted {ECO:0000269|PubMed:14687939}. Note=Predominantly found in association with the membrane fraction, but also located in the cytoplasm and in the supernatant.	NA	NA	NA
Q6XE38	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P07602	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:14657016, ECO:0000269|PubMed:21835174, ECO:0000269|PubMed:22431521}.; SUBCELLULAR LOCATION: [Prosaposin]: Secreted {ECO:0000250|UniProtKB:Q61207}. Note=Secreted as a fully glycosylated 70 kDa protein composed of complex glycans. {ECO:0000250|UniProtKB:Q61207}.	NA	NA	NA
P00746	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q16625	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19017651, ECO:0000269|PubMed:19114660, ECO:0000269|PubMed:9175707}; Multi-pass membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000269|PubMed:10523508, ECO:0000269|PubMed:19017651, ECO:0000269|PubMed:19114660, ECO:0000269|PubMed:19332538, ECO:0000269|PubMed:9175707}.	NA	TOPO_DOM 1..66;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 90..135;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:9175707; TOPO_DOM 161..170;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 196..243;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 266..522;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 67..89;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 136..160;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 171..195;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 244..265;  /note=Helical;  /evidence=ECO:0000255
Q16696	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.	NA	NA	NA
Q86TH1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q04118	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P01562	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q96HE7	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10671517, ECO:0000269|PubMed:14517240}; Peripheral membrane protein {ECO:0000269|PubMed:10671517, ECO:0000269|PubMed:14517240}; Lumenal side {ECO:0000269|PubMed:10671517, ECO:0000269|PubMed:14517240}. Note=The association with ERP44 is essential for its retention in the endoplasmic reticulum.	NA	NA	NA
Q6P093	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
O60218	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:21585341}. Secreted {ECO:0000269|PubMed:21585341}. Note=Secreted through a lysosome-mediated non-classical pathway.	NA	NA	NA
P20853	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Peripheral membrane protein. Microsome membrane; Peripheral membrane protein.	NA	NA	NA
Q70JA7	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000305|PubMed:12907687}; Single-pass type II membrane protein {ECO:0000305|PubMed:12907687}.	NA	TOPO_DOM 1..7;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 29..882;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 8..28;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q8IZN71	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q8N108	SUBCELLULAR LOCATION: [Isoform 1]: Nucleus.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus.; SUBCELLULAR LOCATION: [Isoform 4]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm.	NA	NA	NA
Q9NP55	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11425234, ECO:0000269|PubMed:12409287, ECO:0000269|PubMed:12920053, ECO:0000269|PubMed:15158712, ECO:0000269|PubMed:23499554, ECO:0000269|PubMed:24043776, ECO:0000269|PubMed:24124190, ECO:0000269|PubMed:26559477}. Note=Apical side of airway epithelial cells. Detected in airway surface liquid, nasal mucus and sputum.	NA	NA	NA
Q8NBQ5	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9EQ06}. Lipid droplet {ECO:0000250|UniProtKB:Q9EQ06}. Note=Redistributed from the endoplasmic reticulum to lipids droplets in the cell upon induction of lipids droplet formation. {ECO:0000250|UniProtKB:Q9EQ06}.	NA	NA	NA
Q6ZMB0	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:15755813}; Single-pass type II membrane protein {ECO:0000269|PubMed:15755813}.	NA	TOPO_DOM 1..12;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 32..384;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 13..31;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
O95965	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q8NB15	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	NA	NA	NA
Q96BQ1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
P08519	NA	NA	NA	NA
Q8N3H0	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15028294}. Nucleus {ECO:0000250|UniProtKB:Q7TPG7}.	NA	NA	NA
Q96P70	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11823430}. Nucleus {ECO:0000269|PubMed:11823430}.	NA	NA	NA
P59796	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q9Y4F4	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250|UniProtKB:Q6A070}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q6A070}. Note=Detected along the length of primary cilia and at the basal body. Colocalization with the cytoplasmic microtubule cytoskeleton upon heterologous expression is most likely an artifact. {ECO:0000250|UniProtKB:Q6A070}.	NA	NA	NA
Q9H4F8	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:12130637, ECO:0000269|PubMed:20359165}. Note=In or around the basement membrane.	NA	NA	NA
Q8IYK4	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.	NA	NA	NA
Q8IUX8	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250}.	NA	NA	NA
Q9C0B6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q14832	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8840013}; Multi-pass membrane protein {ECO:0000269|PubMed:8840013}.	NA	TOPO_DOM 23..576;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 600..613;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 635..645;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 665..688;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 710..734;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 757..769;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 793..802;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 829..879;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 577..599;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 614..634;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 646..664;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 689..709;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 735..756;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 770..792;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 803..828;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q8WWX9	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:11839807}. Endoplasmic reticulum {ECO:0000305|PubMed:11839807}. Golgi apparatus {ECO:0000305|PubMed:11839807}. Note=Localized to perinuclear structures corresponding to Golgi and endoplasmic reticulum.	NA	NA	NA
Q9BVA6	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:25601083}; Single-pass type II membrane protein {ECO:0000305|PubMed:25601083}.	NA	TOPO_DOM 1..23;  /note=Cytoplasmic;  /evidence=ECO:0000305|PubMed:25601083; TOPO_DOM 45..458;  /note=Lumenal;  /evidence=ECO:0000305|PubMed:25601083	TRANSMEM 24..44;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
O75121	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24735981}; Single-pass type I membrane protein {ECO:0000305}. Nucleus {ECO:0000269|PubMed:24735981}. Cytoplasm {ECO:0000269|PubMed:24735981}. Note=Mainly localized in the nucleus (PubMed:24735981). {ECO:0000269|PubMed:24735981}.	NA	TOPO_DOM 29..149;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 173..409;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 150..172;  /note=Helical;  /evidence=ECO:0000255
P17050	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:9741689}.	NA	NA	NA
Q6H3X3	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:15240696, ECO:0000269|PubMed:19223974, ECO:0000269|PubMed:20304922}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:20304922}. Endoplasmic reticulum {ECO:0000269|PubMed:19223974, ECO:0000269|PubMed:20304922}. Note=Mainly found intracellularly. {ECO:0000269|PubMed:15240696, ECO:0000269|PubMed:19223974, ECO:0000269|PubMed:20304922}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:19223974}.	NA	TOPO_DOM 26..223;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 244..334;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 224..243;  /note=Helical;  /evidence=ECO:0000255
Q5BIV9	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.	NA	NA	NA
A6NFZ4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q17RR3	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9H400	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:14610044, ECO:0000269|PubMed:14610046}; Single-pass type III membrane protein {ECO:0000269|PubMed:14610044, ECO:0000269|PubMed:14610046}. Note=Present in lipid rafts. Recruited to the immunological synapse upon conjugation of T-cell with antigen-presenting cell.	NA	TOPO_DOM 1..6;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 28..295;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 7..27;  /note=Helical; Signal-anchor for type III membrane protein;  /evidence=ECO:0000255
Q30KQ9	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q6JVE9	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q7Z4J2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..6;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 24..276;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 7..23;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q5VXI9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q5VXJ0	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
A2RUU4	SUBCELLULAR LOCATION: Secreted {ECO:0000255|PROSITE-ProRule:PRU00674}.	NA	NA	NA
P13942	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	NA	NA	NA
P05997	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	NA	NA	NA
P39059	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q15109	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 10]: Cell membrane {ECO:0000269|PubMed:24260107}; Single-pass type I membrane protein {ECO:0000269|PubMed:24260107}.	NA	TOPO_DOM 23..342;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 364..404;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 343..363;  /note=Helical;  /evidence=ECO:0000255
A6NE02	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q96KQ7	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11316813}. Chromosome {ECO:0000269|PubMed:11316813}. Note=Associates with euchromatic regions. Does not associate with heterochromatin.	NA	NA	NA
Q9Y334	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q14406	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:8083227}.	NA	NA	NA
O95866	SUBCELLULAR LOCATION: [Isoform E]: Endoplasmic reticulum {ECO:0000269|PubMed:11544253}. Golgi apparatus {ECO:0000269|PubMed:11544253}.; SUBCELLULAR LOCATION: [Isoform D]: Endoplasmic reticulum {ECO:0000269|PubMed:11544253}. Golgi apparatus {ECO:0000269|PubMed:11544253}.; SUBCELLULAR LOCATION: [Isoform B]: Cell membrane {ECO:0000269|PubMed:11544253}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform A]: Cell membrane {ECO:0000269|PubMed:11544253}; Single-pass type I membrane protein {ECO:0000305}.	NA	TOPO_DOM 18..142;  /note=Extracellular;  /evidence=ECO:0000255, ECO:0000303|PubMed:11544253; TOPO_DOM 164..241;  /note=Cytoplasmic;  /evidence=ECO:0000255, ECO:0000303|PubMed:11544253	TRANSMEM 143..163;  /note=Helical;  /evidence=ECO:0000255
Q5SRR4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
O95445	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17525477, ECO:0000269|PubMed:18279674, ECO:0000269|PubMed:18460466}. Note=Present in high density lipoprotein (HDL) and to a lesser extent in triglyceride-rich lipoproteins (TGRLP) and low density lipoproteins (LDL).	NA	NA	NA
P46379	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17403783, ECO:0000269|PubMed:20676083, ECO:0000269|PubMed:21636303, ECO:0000269|PubMed:29042515}. Nucleus {ECO:0000269|PubMed:14960581, ECO:0000269|PubMed:17403783, ECO:0000269|PubMed:21636303, ECO:0000269|PubMed:29042515}. Secreted, extracellular exosome {ECO:0000269|PubMed:18055229, ECO:0000269|PubMed:18852879}. Note=Normally localized in cytosol and nucleus, it can also be released extracellularly, in exosomes, by tumor and myeloid dendritic cells (PubMed:18055229, PubMed:18852879). Cytoplasmic retention is due to interaction with GET4 (PubMed:29042515). {ECO:0000269|PubMed:18055229, ECO:0000269|PubMed:18852879, ECO:0000269|PubMed:29042515}.	NA	NA	NA
P59942	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14527716}.	NA	NA	NA
P10321	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18420581, ECO:0000269|PubMed:20972337, ECO:0000269|PubMed:28649982}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:18420581}; Single-pass membrane protein {ECO:0000255}.	NA	TOPO_DOM 25..308;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 334..366;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 309..333;  /note=Helical;  /evidence=ECO:0000255
Q9UIG4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6UXA7	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q5J5C9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q08345	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 21..417;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 439..913;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 418..438;  /note=Helical;  /evidence=ECO:0000255
A6NCL2	NA	NA	NA	NA
P17693	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:7584149}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11520457}. Early endosome membrane {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Soluble HLA class I histocompatibility antigen, alpha chain G]: Secreted {ECO:0000269|PubMed:23737137}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:11137219, ECO:0000269|PubMed:7558941, ECO:0000269|PubMed:7584149, ECO:0000269|PubMed:7989753}. Early endosome {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000269|PubMed:7989753}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000269|PubMed:11137219}.; SUBCELLULAR LOCATION: Cell projection, filopodium membrane {ECO:0000269|PubMed:26460007}. Note=HLA-G trogocytosis from extravillous trophoblast's filopodia occurs in the majority of decidual NK cells. {ECO:0000269|PubMed:26460007}.	NA	TOPO_DOM 25..308;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 333..338;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 309..332;  /note=Helical;  /evidence=ECO:0000255
Q5H8A3	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q6EBC2	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q2MV58	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250}. Secreted {ECO:0000305}. Note=Despite the presence of a signal sequence, the full-length protein might not be secreted. Localizes at the transition zone, a region between the basal body and the ciliary axoneme. {ECO:0000250}.	NA	NA	NA
Q6UWQ7	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q6B9Z1	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q5DT21	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q15238	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q69YU5	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:32161263}; Single-pass type II membrane protein {ECO:0000305|PubMed:32161263}.	NA	TOPO_DOM 26..71;  /note=Mitochondrial intermembrane;  /evidence=ECO:0000305|PubMed:32161263	TRANSMEM 9..25;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q9Y5I3	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	NA	TOPO_DOM 30..697;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 719..950;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 698..718;  /note=Helical;  /evidence=ECO:0000255
P479291	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11706006}. Nucleus {ECO:0000269|PubMed:11706006}. Secreted {ECO:0000305}. Note=May be secreted by a non-classical secretory pathway.	NA	NA	NA
